score,trophy_level,accuracy,speed,final_score,negative_score,correct_answers,incorrect_answers,better_than,total_questions,mistakes_corrected,initial_mistake_count,rank
108,2,90.0,100,105,3,27,3,107,100,9,12,171
92,1,100.0,100,92,0,23,0,395,23,3,3,9140
116,2,96.0,100,115,1,29,1,115,100,11,12,418
36,2,90.0,100,35,1,9,1,152,23,1,2,1598
36,3,31.0,96,16,20,9,20,35,100,0,20,2023
40,3,38.0,86,24,16,10,16,43,89,0,16,1810
36,3,50.0,78,27,9,9,9,152,23,0,9,1598
12,2,30.0,100,5,7,3,7,18,59,0,7,2556
76,2,100.0,95,76,0,19,0,375,20,4,4,8479
40,1,100.0,100,40,0,10,0,177,22,0,0,2380
112,2,93.0,100,110,2,28,2,270,41,12,14,5215
64,3,84.0,86,61,3,16,3,286,22,0,3,5764
52,2,43.0,100,35,17,13,17,92,55,0,17,301
24,3,66.0,90,21,3,6,3,23,100,0,3,2392
